Overall Accuracy: 99.3991%

Classification Report:
              precision    recall  f1-score   support

           0     0.9959    0.9990    0.9975       980
           1     0.9887    0.9982    0.9934      1135
           2     0.9932    0.9952    0.9942      1032
           3     0.9921    0.9960    0.9941      1010
           4     0.9919    0.9959    0.9939       982
           5     0.9955    0.9877    0.9916       892
           6     0.9968    0.9906    0.9937       958
           7     0.9932    0.9912    0.9922      1028
           8     0.9969    0.9979    0.9974       974
           9     0.9980    0.9881    0.9930      1009

    accuracy                         0.9941     10000
   macro avg     0.9942    0.9940    0.9941     10000
weighted avg     0.9941    0.9941    0.9941     10000
