Overall Accuracy: 99.2216%

Classification Report:
              precision    recall  f1-score   support

           0     0.9939    0.9939    0.9939       980
           1     0.9956    0.9982    0.9969      1135
           2     0.9913    0.9942    0.9927      1032
           3     0.9882    0.9950    0.9916      1010
           4     0.9949    0.9878    0.9913       982
           5     0.9943    0.9854    0.9899       892
           6     0.9947    0.9885    0.9916       958
           7     0.9961    0.9922    0.9942      1028
           8     0.9908    0.9928    0.9918       974
           9     0.9843    0.9941    0.9892      1009

    accuracy                         0.9924     10000
   macro avg     0.9924    0.9922    0.9923     10000
weighted avg     0.9924    0.9924    0.9924     10000
